@relation 'tweets-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,1-weka.filters.unsupervised.attribute.Remove-R3-4,6-24,26-30'

@attribute negative_words numeric
@attribute mention_romney numeric
@attribute vader_polarity numeric
@attribute T numeric
@attribute sentiment {pro_obama,pro_romney,neutral}

@data
0,0,0,0,pro_romney
0,0,0,0,pro_obama
0,0,0,0,pro_obama
2,0,0,0,pro_romney
1,0,0,0,pro_romney
0,0,0,0,pro_obama
0,0,0,0,pro_obama
0,0,0,0,pro_obama
4,0,0,0,pro_romney
1,0,0,1,pro_romney
1,1,0,0,pro_obama
0,1,0,0,pro_romney
1,1,0,0,pro_romney
0,1,0,0,pro_romney
5,0,0,0,pro_romney
2,0,1,0,pro_romney
1,1,0,0,pro_obama
2,0,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,neutral
2,1,0,0,pro_obama
1,0,0,0,pro_romney
0,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_obama
1,0,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,pro_obama
1,1,0,0,pro_obama
2,0,0,0,pro_romney
2,0,0,0,pro_romney
0,1,0,0,pro_obama
0,0,0,0,pro_obama
1,1,0,1,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_romney
0,0,0,0,pro_romney
0,0,0,0,pro_obama
0,0,0,0,pro_romney
1,1,0,0,pro_obama
0,1,0,0,pro_obama
1,1,0,0,pro_obama
2,0,0,0,pro_romney
0,0,0,0,pro_romney
1,0,0,1,pro_romney
0,1,0,0,neutral
0,0,0,0,neutral
1,1,0,0,pro_obama
0,1,0,0,pro_obama
1,0,0,0,pro_romney
1,0,0,0,pro_romney
1,0,0,1,pro_obama
2,1,0,0,pro_obama
1,1,0,0,neutral
0,1,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_obama
1,0,0,0,pro_obama
1,0,0,0,neutral
0,0,0,0,neutral
1,0,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_romney
1,0,0,0,neutral
0,1,0,0,pro_romney
0,0,0,1,pro_obama
1,0,0,0,pro_romney
0,1,0,0,pro_obama
2,1,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,neutral
2,1,0,1,pro_obama
2,0,0,1,pro_romney
0,0,0,0,neutral
0,1,0,1,pro_romney
1,0,0,1,pro_romney
0,0,1,0,pro_obama
0,0,0,0,pro_obama
0,1,0,0,neutral
1,0,0,0,pro_romney
0,1,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,pro_romney
0,1,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,pro_romney
0,1,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,1,pro_obama
0,1,0,0,pro_obama
0,1,0,0,pro_romney
2,1,0,0,pro_obama
0,1,0,0,pro_romney
2,0,0,1,pro_romney
2,0,0,0,pro_obama
0,1,0,0,pro_romney
0,0,0,0,pro_romney
1,0,0,0,pro_obama
1,0,0,0,neutral
0,0,0,0,neutral
1,0,0,0,pro_romney
1,1,0,0,pro_obama
0,0,0,0,pro_romney
0,1,0,0,pro_obama
0,0,0,1,pro_romney
0,0,0,0,neutral
1,1,0,0,pro_romney
0,0,0,1,pro_obama
0,1,0,0,pro_obama
0,1,0,0,pro_obama
2,1,0,0,pro_obama
0,1,0,0,neutral
2,0,0,0,pro_romney
0,1,0,0,pro_obama
0,0,0,0,pro_obama
2,1,0,0,pro_romney
1,1,0,0,pro_romney
3,0,0,0,pro_romney
0,1,0,0,neutral
1,0,0,1,pro_obama
1,0,0,0,neutral
1,1,0,1,pro_obama
0,1,0,0,pro_obama
0,0,0,0,neutral
0,1,0,0,pro_romney
1,0,0,0,pro_romney
4,0,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,pro_romney
1,1,0,0,pro_obama
0,0,0,0,pro_obama
1,0,0,0,pro_romney
0,0,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,1,0,0,neutral
1,0,0,0,pro_obama
0,1,0,2,pro_obama
1,0,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_obama
2,0,0,1,pro_obama
1,1,0,0,pro_obama
0,0,0,1,pro_obama
2,1,0,0,pro_obama
4,0,0,2,pro_obama
1,0,0,0,pro_romney
4,1,0,0,pro_obama
0,1,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,neutral
0,0,0,0,pro_obama
1,0,0,0,pro_romney
1,1,0,0,pro_obama
0,1,0,0,neutral
0,0,0,0,neutral
0,1,0,0,pro_obama
0,1,0,0,neutral
0,1,0,0,neutral
0,0,0,0,neutral
0,0,0,0,pro_romney
0,0,0,0,pro_romney
2,0,0,0,pro_romney
0,0,0,0,pro_obama
1,1,0,0,pro_romney
1,1,0,0,neutral
3,0,0,0,pro_romney
1,1,0,0,pro_obama
1,1,0,0,pro_obama
0,1,0,0,pro_romney
0,1,0,0,pro_obama
1,1,0,0,pro_obama
0,0,0,0,neutral
1,1,0,0,pro_romney
0,1,0,0,pro_romney
1,1,0,0,neutral
1,0,0,0,pro_obama
0,0,0,0,neutral
1,0,0,0,neutral
0,0,0,0,neutral
0,1,0,0,neutral
1,1,0,0,pro_obama
0,1,0,0,pro_obama
1,0,0,0,pro_romney
0,0,0,0,neutral
0,0,0,1,pro_obama
0,0,0,0,pro_romney
1,1,0,0,neutral
0,0,0,0,pro_obama
0,1,0,0,pro_obama
0,1,0,0,neutral
3,0,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,1,neutral
1,0,0,0,pro_romney
1,1,0,0,neutral
0,1,0,0,pro_obama
5,1,0,0,pro_obama
0,1,0,0,pro_obama
0,1,0,0,neutral
2,1,0,0,pro_obama
0,1,0,0,neutral
1,1,0,0,pro_obama
0,1,0,0,pro_romney
0,1,0,0,neutral
0,0,0,1,neutral
2,0,0,0,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_obama
0,0,0,0,neutral
0,1,0,0,neutral
0,1,0,0,neutral
0,1,0,0,pro_romney
0,0,0,0,neutral
0,0,0,0,pro_romney
0,1,0,0,neutral
0,0,0,0,neutral
2,1,0,0,neutral
2,0,0,1,pro_obama
0,1,0,0,pro_romney
1,0,0,0,pro_romney
1,1,0,0,pro_obama
0,0,0,1,neutral
0,1,0,0,neutral
2,1,0,0,neutral
0,1,1,0,pro_romney
0,1,0,1,pro_romney
0,0,0,0,pro_romney
0,1,0,0,pro_obama
0,1,0,0,pro_obama
0,0,0,1,neutral
0,0,0,0,neutral
0,1,0,0,neutral
