% Twitter Data
@RELATION tweets

@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE vader_polarity NUMERIC
@ATTRIBUTE text STRING
@ATTRIBUTE negative_words NUMERIC
@ATTRIBUTE O NUMERIC
@ATTRIBUTE V NUMERIC
@ATTRIBUTE D NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE N NUMERIC
@ATTRIBUTE "," NUMERIC
@ATTRIBUTE ^ NUMERIC
@ATTRIBUTE L NUMERIC
@ATTRIBUTE ~ NUMERIC
@ATTRIBUTE @ NUMERIC
@ATTRIBUTE U NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE E NUMERIC
@ATTRIBUTE ! NUMERIC
@ATTRIBUTE & NUMERIC
@ATTRIBUTE R NUMERIC
@ATTRIBUTE # NUMERIC
@ATTRIBUTE G NUMERIC
@ATTRIBUTE T NUMERIC
@ATTRIBUTE M NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE S NUMERIC
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE Y NUMERIC

@DATA
0,89,pro_romney,0,'warrantless electron surveil surg obama justic depart via huffpostpol',0,0,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,107,pro_obama,0,'steverocknrol fine told opinion base observ obama cannot pleas everyon',0,2,4,2,1,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,19,pro_obama,0,'obama aka 2 termzzz',0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,129,pro_romney,0,'cinsmith1 spreadbutt new drink game call lie bastard drink everytim obama open hi mouth interchang shot w wat',2,1,4,2,1,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,59,pro_romney,0,'poll favor obama conspiraci democrat media ?',1,0,0,2,0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,129,pro_obama,0,'seanhann obama receiv huge endors yesterday american id vote obama said venezuelan leader hugo chavez',0,1,4,1,1,3,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,70,pro_obama,0,'kamaumandela 35 day elect presid barack obama',0,0,0,1,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,34,pro_obama,0,'marksal obama go win',0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,112,pro_romney,0,'twitchyteam boom american crossroad devast video drub obama hard embassi attack fail leadership!',4,0,2,0,3,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,77,pro_romney,0,'drudge_report hundr line 1 84 ga michigan anti obama stunt',1,0,1,0,0,5,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
1,128,pro_obama,0,'fivethirtyeight weird poll day raw number decent romney except nh poll howev within poll trend',1,1,2,2,3,6,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,68,pro_romney,0,'cps3indi ahmalcolm big reason whi everyon vote romney !',0,0,2,0,1,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,126,pro_romney,0,'ingrahamangl believ almost noth obama wed nite wd lead journalist say lost romney',1,4,8,0,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,119,pro_romney,0,'joshgreenman knew gov romney serv gov romney gov romney wa friend mine mr presid im gov romney',0,3,3,2,0,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99,pro_romney,0,'kitamelendez kill shit osama run shit obama bitch drama fuck yo bitch babymamaaaaa !',5,3,3,3,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,30,pro_romney,1,'obama lie support clueless',2,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,135,pro_obama,0,'krmullins1964 romney admit ha disdain 47 american peopl say victim hi work translat need',1,2,6,3,1,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,132,pro_romney,0,'krystalball1 eastwood use chair gop convent invis obama mitt use invis mic debat lol?',2,0,4,4,2,5,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
