% Twitter Data
@RELATION tweets

@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE negative_words NUMERIC
@ATTRIBUTE mention_romney NUMERIC
@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE vader_polarity NUMERIC
@ATTRIBUTE mention_obama NUMERIC
@ATTRIBUTE O NUMERIC
@ATTRIBUTE V NUMERIC
@ATTRIBUTE D NUMERIC
@ATTRIBUTE A NUMERIC
@ATTRIBUTE N NUMERIC
@ATTRIBUTE "," NUMERIC
@ATTRIBUTE ^ NUMERIC
@ATTRIBUTE L NUMERIC
@ATTRIBUTE ~ NUMERIC
@ATTRIBUTE @ NUMERIC
@ATTRIBUTE U NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE E NUMERIC
@ATTRIBUTE ! NUMERIC
@ATTRIBUTE & NUMERIC
@ATTRIBUTE R NUMERIC
@ATTRIBUTE # NUMERIC
@ATTRIBUTE G NUMERIC
@ATTRIBUTE T NUMERIC
@ATTRIBUTE M NUMERIC
@ATTRIBUTE X NUMERIC
@ATTRIBUTE S NUMERIC
@ATTRIBUTE Z NUMERIC
@ATTRIBUTE Y NUMERIC

@DATA
pro_romney,0,0,0,89,0,1,0,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,0,1,107,0,1,2,4,2,1,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_obama,0,0,0,19,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
pro_romney,2,0,0,129,0,1,1,4,2,1,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,1,0,1,59,0,1,0,0,2,0,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pro_obama,0,0,1,129,0,1,1,4,1,1,3,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pro_obama,0,0,0,70,0,1,0,0,1,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,0,1,34,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,4,0,1,112,0,1,0,2,0,3,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,1,0,0,77,0,1,0,1,0,0,5,0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
pro_obama,1,1,1,128,0,0,1,2,2,3,6,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
pro_romney,0,1,0,68,0,0,0,2,0,1,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,1,1,1,126,0,1,4,8,0,0,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
pro_romney,0,1,0,119,0,0,3,3,2,0,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,5,0,0,99,0,1,3,3,3,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pro_romney,2,0,0,30,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,1,1,1,135,0,0,2,6,3,1,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,2,0,0,132,0,1,0,4,4,2,5,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
pro_romney,0,0,0,109,0,1,1,2,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
pro_obama,0,1,0,66,0,1,0,1,0,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,2,1,0,132,0,0,3,8,3,1,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
pro_romney,1,0,0,63,0,1,0,1,2,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,1,0,50,0,1,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,0,1,103,0,1,1,1,2,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pro_obama,1,0,0,104,0,1,2,1,1,1,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,1,1,2,119,0,1,0,4,2,1,4,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
pro_obama,0,1,0,126,0,0,1,7,2,0,3,0,4,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0
pro_obama,1,1,1,127,0,1,1,7,4,0,5,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,2,0,0,109,0,1,0,1,0,2,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,2,0,0,133,0,1,1,7,1,2,4,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
pro_obama,0,1,1,61,0,1,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
pro_obama,0,0,0,74,0,1,2,6,1,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,1,1,3,128,0,1,0,2,0,3,6,0,4,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
pro_romney,0,0,0,131,0,1,0,4,2,2,5,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
pro_romney,0,1,0,103,0,0,0,3,0,0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,0,0,1,83,0,1,1,2,1,0,6,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_obama,0,0,1,105,0,0,1,4,1,0,3,0,4,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
pro_romney,0,0,1,84,0,0,2,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,1,1,1,128,0,0,0,3,1,1,6,0,3,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0
pro_obama,0,1,2,126,0,0,3,5,2,0,3,1,2,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
pro_obama,1,1,1,120,0,1,6,8,0,1,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pro_romney,2,0,0,98,0,1,2,2,1,0,4,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
pro_romney,0,0,0,34,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,1,0,0,127,0,1,0,4,2,2,7,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
pro_obama,1,1,0,80,0,0,1,4,1,0,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
pro_obama,0,1,1,134,0,0,4,6,2,1,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,1,0,0,127,0,1,6,8,2,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
pro_romney,1,0,0,119,0,1,0,3,1,0,5,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,1,0,1,100,0,0,1,4,0,0,2,0,6,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
pro_obama,2,1,0,100,0,0,0,2,1,1,4,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,0,1,0,39,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,0,0,1,113,0,1,0,3,1,2,3,0,2,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0
pro_obama,0,1,1,109,0,0,1,4,1,1,2,1,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
pro_obama,1,0,1,129,0,1,1,6,4,1,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,1,0,0,75,0,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pro_obama,0,0,2,132,0,1,3,5,0,3,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
pro_romney,0,0,0,86,0,0,0,1,1,1,3,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
pro_romney,0,1,0,52,0,0,0,1,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,0,0,1,92,0,0,0,4,1,2,1,0,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
pro_romney,1,0,0,107,0,0,0,2,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pro_obama,0,1,0,31,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
pro_obama,2,1,0,138,0,1,1,4,3,3,5,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
pro_obama,2,1,1,130,0,0,2,5,2,1,3,0,1,0,0,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0
pro_romney,2,0,0,126,0,1,0,7,4,0,5,1,2,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
pro_romney,0,1,0,71,0,1,1,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
pro_romney,1,0,0,127,0,1,2,4,2,0,8,3,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
