D,N,obama,romney,sentence_length,sentiment
0,5,1,0,89,pro_romney
2,3,1,0,107,pro_obama
0,1,1,0,19,pro_obama
2,6,1,0,129,pro_romney
2,5,1,0,59,pro_romney
1,3,1,0,129,pro_obama
1,6,1,0,70,pro_obama
0,0,1,0,34,pro_obama
0,4,1,0,112,pro_romney
0,5,1,0,77,pro_romney
2,6,0,1,128,pro_obama
0,2,0,1,68,pro_romney
0,3,1,1,126,pro_romney
2,4,0,1,119,pro_romney
3,6,1,0,99,pro_romney
0,2,1,0,30,pro_romney
3,4,0,1,135,pro_obama
4,5,1,0,132,pro_romney
0,5,1,0,109,pro_romney
0,4,1,1,66,pro_obama
3,4,0,1,132,pro_obama
2,4,1,0,63,pro_romney
1,4,1,1,50,pro_obama
2,6,1,0,103,pro_obama
1,6,1,0,104,pro_obama
2,4,1,1,119,pro_obama
2,3,0,1,126,pro_obama
4,5,1,1,127,pro_obama
0,6,1,0,109,pro_romney
1,4,1,0,133,pro_romney
0,0,1,1,61,pro_obama
1,2,1,0,74,pro_obama
0,6,1,1,128,pro_romney
2,5,1,0,131,pro_romney
0,2,0,1,103,pro_romney
1,6,1,0,83,pro_romney
1,3,0,1,105,pro_obama
0,4,1,0,84,pro_romney
1,6,0,1,128,pro_obama
2,3,0,1,126,pro_obama
0,0,1,1,120,pro_obama
1,4,1,0,98,pro_romney
0,2,1,0,34,pro_romney
2,7,1,0,127,pro_romney
1,3,0,1,80,pro_obama
2,4,0,1,134,pro_obama
2,4,1,0,127,pro_romney
1,5,1,0,119,pro_romney
0,2,0,1,100,pro_obama
1,4,0,1,100,pro_obama
1,2,0,1,39,pro_romney
1,3,1,0,113,pro_romney
1,2,0,1,109,pro_obama
4,5,1,0,129,pro_obama
0,7,1,0,75,pro_romney
0,3,1,0,132,pro_obama
1,3,0,0,86,pro_romney
0,3,0,1,52,pro_romney
1,1,0,0,92,pro_obama
0,6,0,1,107,pro_romney
0,0,1,1,31,pro_obama
3,5,1,1,138,pro_obama
2,3,0,1,130,pro_obama
4,5,1,0,126,pro_romney
0,2,1,1,71,pro_romney
2,8,1,0,127,pro_romney
1,1,1,0,13,pro_obama
0,3,1,0,70,pro_obama
0,3,1,0,128,pro_romney
3,4,0,1,127,pro_romney
0,0,1,0,13,pro_romney
0,0,1,1,112,pro_romney
0,2,1,1,85,pro_obama
2,1,0,1,99,pro_romney
2,3,0,1,54,pro_romney
1,1,1,1,64,pro_obama
1,3,1,1,128,pro_obama
3,8,1,0,118,pro_romney
1,4,1,0,132,pro_romney
2,6,0,1,141,pro_obama
1,6,1,1,130,pro_obama
2,3,1,1,107,pro_obama
1,3,0,1,41,pro_obama
0,3,1,1,63,pro_romney
2,4,1,1,133,pro_obama
0,3,1,1,70,pro_romney
0,3,1,0,126,pro_romney
1,2,0,1,86,pro_obama
0,0,1,1,32,pro_romney
1,6,0,1,127,pro_romney
0,1,1,0,56,pro_obama
1,3,1,0,57,pro_romney
1,4,0,1,80,pro_obama
0,4,1,0,66,pro_romney
0,2,0,1,70,pro_obama
2,5,0,1,124,pro_romney
4,4,1,1,129,pro_romney
2,2,1,0,122,pro_obama
4,6,0,1,139,pro_obama
0,0,0,1,45,pro_obama
1,2,0,1,118,pro_obama
2,6,1,0,93,pro_romney
2,3,1,1,131,pro_obama
0,2,1,1,58,pro_obama
4,5,1,1,111,pro_romney
0,2,0,1,71,pro_romney
0,4,1,0,116,pro_romney
2,2,1,0,93,pro_obama
2,5,0,1,132,pro_obama
0,3,0,1,104,pro_obama
0,2,1,1,35,pro_romney
1,4,1,0,98,pro_romney
1,3,1,0,131,pro_romney
1,4,1,0,62,pro_romney
1,1,0,1,86,pro_obama
0,3,1,0,24,pro_obama
0,6,1,0,128,pro_romney
2,0,1,1,86,pro_obama
2,6,0,1,74,pro_obama
2,3,0,1,97,pro_obama
2,6,0,1,123,pro_obama
0,5,1,0,130,pro_romney
1,3,1,1,60,pro_obama
2,3,0,1,128,pro_obama
2,5,1,0,130,pro_obama
1,1,1,1,128,pro_obama
1,1,0,0,94,pro_obama
3,6,1,1,124,pro_obama
0,6,0,1,137,pro_obama
1,2,1,0,81,pro_romney
1,7,0,1,143,pro_obama
0,0,1,1,30,pro_obama
2,5,0,1,130,pro_obama
0,0,1,0,59,pro_obama
2,3,1,0,97,pro_romney
1,5,0,1,90,pro_obama
0,0,1,1,69,pro_obama
0,3,1,0,95,pro_romney
1,4,1,0,138,pro_romney
4,4,1,0,139,pro_romney
4,5,0,1,103,pro_obama
2,4,1,1,124,pro_romney
1,7,1,0,92,pro_romney
2,2,0,1,49,pro_obama
1,8,1,1,118,pro_obama
0,3,0,1,77,pro_romney
1,3,1,1,126,pro_obama
2,5,0,1,128,pro_obama
1,4,1,1,111,pro_romney
1,5,0,1,120,pro_romney
0,0,1,0,88,pro_obama
1,4,0,1,135,pro_obama
1,3,1,1,110,pro_obama
1,1,1,0,37,pro_romney
2,4,1,0,130,pro_obama
1,1,1,0,47,pro_romney
0,2,1,0,28,pro_obama
0,0,0,1,52,pro_obama
4,5,1,0,132,pro_romney
1,2,0,1,107,pro_obama
1,3,1,0,83,pro_romney
3,7,0,1,129,pro_obama
3,4,0,1,138,pro_obama
1,3,1,1,119,pro_obama
1,6,0,1,127,pro_obama
3,5,0,1,128,pro_obama
1,1,0,1,39,pro_romney
1,6,1,0,111,pro_romney
1,5,1,1,91,pro_romney
0,2,1,1,112,pro_obama
0,6,1,1,119,pro_romney
0,4,0,1,56,pro_romney
2,2,1,0,62,pro_obama
0,4,1,1,112,pro_romney
4,7,1,0,131,pro_romney
2,6,1,1,132,pro_obama
0,5,0,1,72,pro_romney
3,6,0,1,129,pro_romney
0,4,1,0,75,pro_romney
1,2,1,1,116,pro_obama
2,7,0,1,131,pro_obama
2,2,0,1,128,pro_obama
2,3,0,1,130,pro_romney
5,5,1,0,125,pro_romney
1,4,0,1,68,pro_obama
2,4,0,1,99,pro_obama
1,2,1,0,111,pro_romney
0,0,0,1,43,pro_romney
3,6,0,1,125,pro_obama
0,1,1,0,107,pro_romney
1,2,1,1,98,pro_romney
0,3,0,1,40,pro_obama
2,4,0,1,139,pro_obama
4,6,1,0,132,pro_romney
1,3,0,1,114,pro_obama
1,1,1,0,85,pro_romney
0,3,1,0,75,pro_romney
2,5,0,1,128,pro_obama
0,5,1,0,131,pro_romney
2,5,0,1,125,pro_obama
1,4,0,1,108,pro_obama
0,3,1,0,79,pro_obama
2,3,0,1,88,pro_romney
0,3,0,1,76,pro_romney
1,3,0,1,138,pro_romney
0,3,1,0,79,pro_obama
0,2,1,0,57,pro_romney
0,6,0,1,115,pro_romney
0,3,1,1,102,pro_obama
3,4,0,0,101,pro_obama
3,3,1,0,107,pro_obama
2,4,0,1,121,pro_obama
2,5,1,0,131,pro_romney
1,4,1,0,89,pro_romney
0,0,0,1,97,pro_romney
0,0,1,0,34,pro_obama
1,1,0,1,110,pro_obama
2,4,0,1,115,pro_obama
0,3,1,0,57,pro_obama
1,3,0,0,99,pro_obama
1,2,1,0,90,pro_romney
1,6,0,1,111,pro_obama
2,4,0,1,126,pro_obama
2,8,0,1,123,pro_obama
1,4,0,1,54,pro_romney
1,4,0,1,128,pro_romney
3,4,1,0,137,pro_romney
1,2,0,1,92,pro_obama
0,1,0,1,85,pro_obama
2,2,1,0,126,pro_romney
0,1,0,1,74,pro_obama
2,4,0,1,126,pro_obama
0,2,0,1,61,pro_romney
1,2,1,1,68,pro_romney
0,1,1,0,100,pro_romney
1,4,1,0,128,pro_romney
0,5,0,1,74,pro_romney
2,1,1,0,77,pro_obama
1,2,1,0,101,pro_obama
0,3,0,1,86,pro_obama
0,6,0,1,77,pro_obama
3,7,1,0,117,pro_romney
1,4,1,1,132,pro_romney
0,1,0,1,74,pro_obama
1,1,0,1,129,pro_romney
0,2,1,1,109,pro_romney
1,3,1,1,131,pro_romney
2,2,0,1,78,pro_obama
2,5,0,1,101,pro_obama
3,6,0,1,117,pro_obama
2,4,1,1,130,pro_romney
2,3,1,0,114,pro_romney
2,6,1,0,121,pro_romney
0,3,1,0,69,pro_obama
1,3,0,1,90,pro_romney
1,2,0,1,78,pro_obama
0,4,1,0,50,pro_romney
0,4,1,0,61,pro_obama
1,1,1,0,85,pro_romney
7,7,1,0,136,pro_obama
1,3,1,1,74,pro_obama
2,6,1,1,115,pro_romney
5,7,0,1,139,pro_romney
3,6,0,1,110,pro_obama
0,0,1,1,27,pro_romney
1,3,0,1,128,pro_obama
3,7,0,1,129,pro_obama
1,4,0,1,113,pro_romney
2,5,1,0,83,pro_romney
1,2,0,1,80,pro_romney
0,2,0,1,58,pro_obama
0,5,1,1,98,pro_romney
1,5,1,1,139,pro_romney
1,3,0,1,99,pro_obama
2,3,1,0,130,pro_romney
1,3,1,0,98,pro_romney
1,3,1,0,81,pro_romney
0,0,1,0,85,pro_romney
2,4,0,1,50,pro_obama
2,3,1,0,116,pro_romney
1,3,1,1,106,pro_obama
2,3,1,1,118,pro_obama
0,1,1,1,92,pro_obama
0,1,1,0,28,pro_obama
0,0,1,1,43,pro_romney
1,2,1,1,127,pro_obama
0,3,1,1,131,pro_obama
3,6,0,1,131,pro_obama
2,5,1,0,131,pro_obama
0,3,0,1,43,pro_obama
1,2,1,1,70,pro_obama
3,5,0,1,107,pro_obama
0,3,0,1,90,pro_obama
0,0,0,1,42,pro_obama
4,7,0,1,131,pro_obama
0,0,0,1,64,pro_romney
0,8,0,1,127,pro_romney
0,1,1,1,37,pro_romney
