% Twitter Data
@RELATION tweets

@ATTRIBUTE positive_words NUMERIC
@ATTRIBUTE . NUMERIC
@ATTRIBUTE : NUMERIC
@ATTRIBUTE ) NUMERIC
@ATTRIBUTE $ NUMERIC
@ATTRIBUTE CC NUMERIC
@ATTRIBUTE CD NUMERIC
@ATTRIBUTE DT NUMERIC
@ATTRIBUTE EX NUMERIC
@ATTRIBUTE FW NUMERIC
@ATTRIBUTE IN NUMERIC
@ATTRIBUTE JJ NUMERIC
@ATTRIBUTE JJR NUMERIC
@ATTRIBUTE JJS NUMERIC
@ATTRIBUTE LS NUMERIC
@ATTRIBUTE MD NUMERIC
@ATTRIBUTE NN NUMERIC
@ATTRIBUTE NNP NUMERIC
@ATTRIBUTE NNS NUMERIC
@ATTRIBUTE PDT NUMERIC
@ATTRIBUTE POS NUMERIC
@ATTRIBUTE PRP NUMERIC
@ATTRIBUTE PRP$ NUMERIC
@ATTRIBUTE RB NUMERIC
@ATTRIBUTE RBR NUMERIC
@ATTRIBUTE RBS NUMERIC
@ATTRIBUTE RP NUMERIC
@ATTRIBUTE SYM NUMERIC
@ATTRIBUTE TO NUMERIC
@ATTRIBUTE UH NUMERIC
@ATTRIBUTE VB NUMERIC
@ATTRIBUTE VBD NUMERIC
@ATTRIBUTE VBG NUMERIC
@ATTRIBUTE VBN NUMERIC
@ATTRIBUTE VBP NUMERIC
@ATTRIBUTE VBZ NUMERIC
@ATTRIBUTE WDT NUMERIC
@ATTRIBUTE WP NUMERIC
@ATTRIBUTE WP$ NUMERIC
@ATTRIBUTE WRB NUMERIC
@ATTRIBUTE sentiment {pro_obama, pro_romney}
@ATTRIBUTE sentence_length NUMERIC
@ATTRIBUTE text STRING
@ATTRIBUTE negative_words NUMERIC

@DATA
0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,89,'warrantless electron surveil surg obama justic depart via huffpostpol',0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,pro_obama,107,'steverocknrol fine told opinion base observ obama cannot pleas everyon',0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,pro_obama,19,'obama aka 2 termzzz',0
0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,pro_romney,129,'cinsmith1 spreadbutt new drink game call lie bastard drink everytim obama open hi mouth interchang shot w wat',2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,59,'poll favor obama conspiraci democrat media ?',1
1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,pro_obama,129,'seanhann obama receiv huge endors yesterday american id vote obama said venezuelan leader hugo chavez',0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pro_obama,70,'kamaumandela 35 day elect presid barack obama',0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,pro_obama,34,'marksal obama go win',0
1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,112,'twitchyteam boom american crossroad devast video drub obama hard embassi attack fail leadership!',4
0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pro_romney,77,'drudge_report hundr line 1 84 ga michigan anti obama stunt',1
